Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
508814,COSMOFIRST,Cosmo First Ltd,28 Jul 2025,Final Dividend - Rs. - 4.0000,28 Jul 2025,-,-,28 Jul 2025,28 Jul 2025,-
500092,CRISIL,CRISIL Ltd,28 Jul 2025,Interim Dividend - Rs. - 9.0000,28 Jul 2025,-,-,28 Jul 2025,28 Jul 2025,-
532868,DLF,DLF Ltd,28 Jul 2025,Final Dividend - Rs. - 6.0000,28 Jul 2025,-,-,28 Jul 2025,28 Jul 2025,-
523127,EIHAHOTELS,EIH Associated Hotels Ltd-$,28 Jul 2025,Final Dividend - Rs. - 3.5000,28 Jul 2025,-,-,28 Jul 2025,28 Jul 2025,-
539479,GTV,GTV Engineering Ltd,28 Jul 2025,Bonus issue 2:1,28 Jul 2025,-,-,28 Jul 2025,28 Jul 2025,-
539479,GTV,GTV Engineering Ltd,28 Jul 2025,Stock  Split From Rs.10/- to Rs.2/-,28 Jul 2025,-,-,28 Jul 2025,28 Jul 2025,-
509051,INDINFO,Indian Infotech & Software Ltd,28 Jul 2025,Right Issue of Equity Shares ,28 Jul 2025,-,-,28 Jul 2025,28 Jul 2025,-
542446,JONJUA,Jonjua Overseas Ltd,28 Jul 2025,Bonus issue 1:20,28 Jul 2025,-,-,28 Jul 2025,28 Jul 2025,-
542651,KPITTECH,KPIT Technologies Ltd,28 Jul 2025,Final Dividend - Rs. - 6.0000,28 Jul 2025,-,-,28 Jul 2025,28 Jul 2025,-
543299,SHYAMMETL,Shyam Metalics and Energy Ltd,28 Jul 2025,Interim Dividend - Rs. - 1.8000,28 Jul 2025,-,-,28 Jul 2025,28 Jul 2025,-
507685,WIPRO,Wipro Ltd,28 Jul 2025,Interim Dividend - Rs. - 5.0000,28 Jul 2025,-,-,28 Jul 2025,28 Jul 2025,-
540980,YSL,The Yamuna Syndicate Ltd,28 Jul 2025,Final Dividend - Rs. - 500.0000,28 Jul 2025,-,-,28 Jul 2025,28 Jul 2025,-
543972,AEROFLEX,Aeroflex Industries Ltd,29 Jul 2025,Final Dividend - Rs. - 0.3000,29 Jul 2025,-,-,28 Jul 2025,29 Jul 2025,-
532259,APARINDS,Apar Industries Ltd,29 Jul 2025,Final Dividend - Rs. - 51.0000,29 Jul 2025,-,-,28 Jul 2025,29 Jul 2025,-
533573,APLLTD,Alembic Pharmaceuticals Ltd,29 Jul 2025,Final Dividend - Rs. - 11.0000,29 Jul 2025,-,-,28 Jul 2025,29 Jul 2025,-
500530,BOSCHLTD,Bosch Ltd,29 Jul 2025,Final Dividend - Rs. - 512.0000,29 Jul 2025,-,-,28 Jul 2025,29 Jul 2025,-
531508,EVEREADY,Eveready Industries India Ltd,29 Jul 2025,Final Dividend - Rs. - 1.5000,29 Jul 2025,-,-,28 Jul 2025,29 Jul 2025,-
544131,GPTHEALTH,GPT Healthcare Ltd,29 Jul 2025,Final Dividend - Rs. - 1.5000,29 Jul 2025,-,-,28 Jul 2025,29 Jul 2025,-
540565,INDIGRID,IndiGrid Infrastructure Trust,29 Jul 2025,Income Distribution (InvIT) ,29 Jul 2025,-,-,28 Jul 2025,29 Jul 2025,-
539083,INOXWIND,Inox Wind Ltd,29 Jul 2025,Right Issue of Equity Shares ,29 Jul 2025,-,-,28 Jul 2025,29 Jul 2025,-
533295,PSB,Punjab & Sind Bank,29 Jul 2025,Final Dividend - Rs. - 0.0700,29 Jul 2025,-,-,28 Jul 2025,29 Jul 2025,-
505800,RANEHOLDIN,Rane Holdings Ltd,29 Jul 2025,Final Dividend - Rs. - 38.0000,29 Jul 2025,-,-,28 Jul 2025,29 Jul 2025,-
524218,RESONANCE,Resonance Specialties Ltd-$,29 Jul 2025,Final Dividend - Rs. - 1.0000,29 Jul 2025,-,-,28 Jul 2025,29 Jul 2025,-
532661,RML,Rane (Madras) Ltd,29 Jul 2025,Final Dividend - Rs. - 8.0000,29 Jul 2025,-,-,28 Jul 2025,29 Jul 2025,-
503806,SRF,SRF Ltd,29 Jul 2025,Interim Dividend - Rs. - 4.0000,29 Jul 2025,-,-,28 Jul 2025,29 Jul 2025,-
505685,TAPARIA,Taparia Tools Ltd,29 Jul 2025,Final Dividend - Rs. - 25.0000,29 Jul 2025,-,-,28 Jul 2025,29 Jul 2025,-
532668,AURIONPRO,Aurionpro Solutions Ltd,30 Jul 2025,Interim Dividend - Rs. - 1.0000,30 Jul 2025,-,-,28 Jul 2025,30 Jul 2025,-
500042,BASF,BASF India Ltd,30 Jul 2025,Final Dividend - Rs. - 20.0000,30 Jul 2025,-,-,28 Jul 2025,30 Jul 2025,-
509472,CRAVATEX,Cravatex Ltd,30 Jul 2025,Final Dividend - Rs. - 12.5000,30 Jul 2025,-,-,28 Jul 2025,30 Jul 2025,-
500840,EIHOTEL,EIH Ltd,30 Jul 2025,Final Dividend - Rs. - 1.5000,30 Jul 2025,-,-,28 Jul 2025,30 Jul 2025,-
508486,HAWKINCOOK,Hawkins Cookers Ltd-$,30 Jul 2025,Dividend - Rs. - 130.0000,30 Jul 2025,-,-,28 Jul 2025,30 Jul 2025,-
506943,JBCHEPHARM,JB Chemicals & Pharmaceuticals Ltd,30 Jul 2025,Final Dividend - Rs. - 7.0000,30 Jul 2025,-,-,28 Jul 2025,30 Jul 2025,-
522241,MMFL,MM Forgings Ltd-$,30 Jul 2025,Final Dividend - Rs. - 4.0000,30 Jul 2025,-,-,28 Jul 2025,30 Jul 2025,-
500730,NOCIL,NOCIL Ltd,30 Jul 2025,Final Dividend - Rs. - 2.0000,30 Jul 2025,-,-,28 Jul 2025,30 Jul 2025,-
539273,PECOS,Pecos Hotels and Pubs Ltd,30 Jul 2025,Final Dividend - Rs. - 3.5000,30 Jul 2025,-,-,28 Jul 2025,30 Jul 2025,-
504132,PERMAGN,Permanent Magnets Ltd-$,30 Jul 2025,Final Dividend - Rs. - 2.0000,30 Jul 2025,-,-,28 Jul 2025,30 Jul 2025,-
523023,SINCLAIR,Sinclairs Hotels Ltd-$,30 Jul 2025,Dividend - Rs. - 0.8000,30 Jul 2025,-,-,28 Jul 2025,30 Jul 2025,-
533553,TDPOWERSYS,TD Power Systems Ltd,30 Jul 2025,Final Dividend - Rs. - 0.6500,30 Jul 2025,-,-,28 Jul 2025,30 Jul 2025,-
539118,VRLLOG,VRL Logistics Ltd,30 Jul 2025,Final Dividend - Rs. - 10.0000,30 Jul 2025,-,-,28 Jul 2025,30 Jul 2025,-
531658,ABATEAS,Abate As Industries Ltd,31 Jul 2025,Bonus issue 1:1,31 Jul 2025,-,-,28 Jul 2025,31 Jul 2025,-
502355,BALKRISIND,Balkrishna Industries Ltd-$,31 Jul 2025,Interim Dividend,31 Jul 2025,-,-,28 Jul 2025,31 Jul 2025,-
500547,BPCL,Bharat Petroleum Corporation Ltd,31 Jul 2025,Final Dividend - Rs. - 5.0000,31 Jul 2025,-,-,28 Jul 2025,31 Jul 2025,-
513375,CARBORUNIV,Carborundum Universal Ltd,31 Jul 2025,Final Dividend - Rs. - 2.5000,31 Jul 2025,-,-,28 Jul 2025,31 Jul 2025,-
530871,CHEMBOND,Chembond Material Technologies Ltd-$,31 Jul 2025,Dividend - Rs. - 1.7500,31 Jul 2025,-,-,28 Jul 2025,31 Jul 2025,-
526817,CHEVIOT,Cheviot Company Ltd-$,31 Jul 2025,Final Dividend - Rs. - 5.0000,31 Jul 2025,-,-,28 Jul 2025,31 Jul 2025,-
532541,COFORGE,Coforge Ltd,31 Jul 2025,Interim Dividend - Rs. - 4.0000,31 Jul 2025,-,-,28 Jul 2025,31 Jul 2025,-
540724,DIAMONDYD,Prataap Snacks Ltd,31 Jul 2025,Dividend - Rs. - 0.5000,31 Jul 2025,-,-,28 Jul 2025,31 Jul 2025,-
540743,GODREJAGRO,Godrej Agrovet Ltd,31 Jul 2025,Final Dividend - Rs. - 11.0000,31 Jul 2025,-,-,28 Jul 2025,31 Jul 2025,-
533761,GPTINFRA,GPT Infraprojects Ltd,31 Jul 2025,Final Dividend - Rs. - 1.0000,31 Jul 2025,-,-,28 Jul 2025,31 Jul 2025,-
532482,GRANULES,Granules India Ltd-$,31 Jul 2025,Final Dividend - Rs. - 1.5000,31 Jul 2025,-,-,28 Jul 2025,31 Jul 2025,-
517380,IGARASHI,Igarashi Motors India Ltd,31 Jul 2025,Final Dividend - Rs. - 2.5000,31 Jul 2025,-,-,28 Jul 2025,31 Jul 2025,-
509496,ITDCEM,ITD Cementation India Ltd,31 Jul 2025,Final Dividend - Rs. - 2.0000,31 Jul 2025,-,-,28 Jul 2025,31 Jul 2025,-
530007,JKTYRE,JK Tyre & Industries Ltd,31 Jul 2025,Dividend - Rs. - 3.0000,31 Jul 2025,-,-,28 Jul 2025,31 Jul 2025,-
533293,KIRLOSENG,Kirloskar Oil Engines Ltd,31 Jul 2025,Final Dividend - Rs. - 4.0000,31 Jul 2025,-,-,28 Jul 2025,31 Jul 2025,-
505299,KPT,KPT Industries Ltd,31 Jul 2025,Dividend - Rs. - 3.0000,31 Jul 2025,-,-,28 Jul 2025,31 Jul 2025,-
523828,MENONBE,Menon Bearings Ltd-$,31 Jul 2025,Interim Dividend - Rs. - 2.0000,31 Jul 2025,-,-,28 Jul 2025,31 Jul 2025,-
517506,TTKPRESTIG,TTK Prestige Ltd,31 Jul 2025,Final Dividend - Rs. - 6.0000,31 Jul 2025,-,-,28 Jul 2025,31 Jul 2025,-
532478,UBL,United Breweries Ltd-$,31 Jul 2025,Final Dividend - Rs. - 10.0000,31 Jul 2025,-,-,28 Jul 2025,31 Jul 2025,-
517146,USHAMART,Usha Martin Ltd,31 Jul 2025,Final Dividend - Rs. - 3.0000,31 Jul 2025,-,-,28 Jul 2025,31 Jul 2025,-
532953,VGUARD,V-Guard Industries Ltd,31 Jul 2025,Final Dividend - Rs. - 1.5000,31 Jul 2025,-,-,28 Jul 2025,31 Jul 2025,-
523411,ADCINDIA,ADC India Communications Ltd-$,01 Aug 2025,Final Dividend - Rs. - 5.0000,01 Aug 2025,-,-,28 Jul 2025,01 Aug 2025,-
502330,ANDHRAPAP,Andhra Paper Ltd,01 Aug 2025,Final Dividend - Rs. - 1.0000,01 Aug 2025,-,-,28 Jul 2025,01 Aug 2025,-
500008,ARE&M,Amara Raja Energy & Mobility Ltd,01 Aug 2025,Final Dividend - Rs. - 5.2000,01 Aug 2025,-,-,28 Jul 2025,01 Aug 2025,-
544261,ARKADE ,Arkade Developers Ltd,01 Aug 2025,Interim Dividend - Rs. - 1.0000,01 Aug 2025,-,-,28 Jul 2025,01 Aug 2025,-
530999,BALAMINES,Balaji Amines Ltd-$,01 Aug 2025,Final Dividend - Rs. - 11.0000,01 Aug 2025,-,-,28 Jul 2025,01 Aug 2025,-
500043,BATAINDIA,Bata India Ltd,01 Aug 2025,Final Dividend - Rs. - 9.0000,01 Aug 2025,-,-,28 Jul 2025,01 Aug 2025,-
522004,BATLIBOI,Batliboi Ltd-$,01 Aug 2025,Final Dividend - Rs. - 0.6000,01 Aug 2025,-,-,28 Jul 2025,01 Aug 2025,-
524828,BDH,BDH Industries Ltd,01 Aug 2025,Final Dividend - Rs. - 4.5000,01 Aug 2025,-,-,28 Jul 2025,01 Aug 2025,-
532230,BENGALT,Bengal Tea & Fabrics Ltd,01 Aug 2025,Final Dividend - Rs. - 1.5000,01 Aug 2025,-,-,28 Jul 2025,01 Aug 2025,-
544012,CELLO,Cello World Ltd,01 Aug 2025,Final Dividend - Rs. - 1.5000,01 Aug 2025,-,-,28 Jul 2025,01 Aug 2025,-
500110,CHENNPETRO,Chennai Petroleum Corporation Ltd,01 Aug 2025,Final Dividend - Rs. - 5.0000,01 Aug 2025,-,-,28 Jul 2025,01 Aug 2025,-
504973,CHOLAHLDNG,Cholamandalam Financial Holdings Ltd,01 Aug 2025,Final Dividend - Rs. - 1.3000,01 Aug 2025,-,-,28 Jul 2025,01 Aug 2025,-
513353,COCHINM,Cochin Minerals & Rutiles Ltd-$,01 Aug 2025,Final Dividend - Rs. - 8.0000,01 Aug 2025,-,-,28 Jul 2025,01 Aug 2025,-
532210,CUB,City Union Bank Ltd,01 Aug 2025,Dividend - Rs. - 2.0000,01 Aug 2025,-,-,28 Jul 2025,01 Aug 2025,-
532640,CYBERMEDIA,Cyber Media India Ltd,01 Aug 2025,Right Issue of Equity Shares ,01 Aug 2025,-,-,28 Jul 2025,01 Aug 2025,-
543428,DATAPATTNS ,Data Patterns (India) Ltd,01 Aug 2025,Final Dividend - Rs. - 7.9000,01 Aug 2025,-,-,28 Jul 2025,01 Aug 2025,-
538902,DTIL,Dhunseri Tea & Industries Ltd,01 Aug 2025,Final Dividend - Rs. - 1.0000,01 Aug 2025,-,-,28 Jul 2025,01 Aug 2025,-
523736,DVL,Dhunseri Ventures Ltd-$,01 Aug 2025,Final Dividend - Rs. - 5.0000,01 Aug 2025,-,-,28 Jul 2025,01 Aug 2025,-
505200,EICHERMOT,Eicher Motors Ltd,01 Aug 2025,Final Dividend - Rs. - 70.0000,01 Aug 2025,-,-,28 Jul 2025,01 Aug 2025,-
